uid,name,cost,cost_member,denomination,deposit,group,description
000,"tofutti sour cream",3.29,2.79,usd,0.00,"dairy",""
000,"tofutti sour cream",3.29,2.79,usd,0.00,"dairy",""
000,"hodo currey tofu nggt",5.99,5.99,usd,0.00,"dairy",""
000,"fdies fr hrb art brg",4.99,4.99,usd,0.00,"frozen food","Foodies Vegan Artichoke Burgers: French Herb (Frozen)"
000,"fdies fr hrb art brg",4.99,4.99,usd,0.00,"frozen food","Foodies Vegan Artichoke Burgers: French Herb (Frozen)"
000,"fdies tand art brg",4.99,4.99,usd,0.00,"frozen food","Foodies Vegan Artichoke Burgers: Tandoori (Frozen)"
000,"alphdbff ck pt pie",4.50,3.69,usd,0.00,"frozen food",""
000,"alphdbff ck pt pie",4.50,3.69,usd,0.00,"frozen food",""
000,"alphdbff ck pt pie",4.50,3.69,usd,0.00,"frozen food",""
000,"alphdbff ck pt pie",4.50,3.69,usd,0.00,"frozen food",""
000,"ore-ida steak fries",3.69,3.69,usd,0.00,"frozen food",""
000,"sthlbsh tri clr crrt",2.99,2.99,usd,0.00,"frozen food",""
000,"mrkt pepper strips",2.29,2.29,usd,0.00,"frozen food","Frozen Tri-Color Bell-Pepper Strips"
000,"mrkt pepper strips",2.29,2.29,usd,0.00,"frozen food","Frozen Tri-Color Bell-Pepper Strips"
000,"sthlbsh tri clr crrt",2.99,2.99,usd,0.00,"frozen food",""
000,"sthlbsh sweet pot",2.99,2.99,usd,0.00,"frozen food",""
000,"fdies fr hrb art brg",4.99,4.99,usd,0.00,"frozen food","Foodies Vegan Artichoke Burgers: French Herb (Frozen)"
000,"pctsw pot\,crt&prsnp",3.89,3.50,usd,0.00,"frozen food",""
000,"pctsw pot\,crt&prsnp",3.89,3.50,usd,0.00,"frozen food",""
000,"pctsw clfl s pot bs",3.89,3.50,usd,0.00,"frozen food",""
000,"pctsw clfl s pot bs",3.89,3.50,usd,0.00,"frozen food",""
000,"calif olv mld evoo",11.39,7.99,usd,0.00,"grocery","California Extra Virgin Olive Oil"
000,"pstn artch hrt mrnd",5.19,4.69,usd,0.00,"grocery",""
000,"ritz whole wheat fam",4.29,4.29,usd,0.00,"grocery",""
000,"ct texas 2 crn salsa",3.00,3.99,usd,0.00,"grocery",""
000,"snyds jlp prtz pcs",3.89,3.89,usd,0.00,"grocery",""
000,"tonys drk choc almnd",4.99,4.99,usd,0.00,"grocery",""
000,"tonys drk choc almnd",4.99,4.99,usd,0.00,"grocery",""
000,"xochtl sprtd trts",4.29,4.29,usd,0.00,"grocery",""
000,"angs sea slt pcrn",3.99,2.50,usd,0.00,"grocery",""
000,"angs sea slt pcrn",3.99,2.50,usd,0.00,"grocery",""
000,"kvta lvnd mln kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Lavender-Melon Kombucha"
000,"kvta lvnd mln kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Lavender-Melon Kombucha"
000,"kvta org raspbry kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Raspberry Kombucha"
000,"kvta lvnd mln kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Lavender-Melon Kombucha"
000,"kvta org pnpl kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Pineapple Kombucha"
000,"edamame",5.69,5.69,usd,0.00,"produce",""
